# blastp
# Iteration: 1
# Query: sp|Q9NPG2|NGB_HUMAN Neuroglobin OS=Homo sapiens OX=9606 GN=NGB PE=1 SV=1
# RID: AEVANAUX01R
# Database: nr
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score, % positives
# 29 hits found

                     Accession                                           E-Value
sp|Q9NPG2|NGB_HUMAN	NP_067080.1	    100.000	151	0	0	1	151	1	151	1.30e-109	310	   100.00
sp|Q9NPG2|NGB_HUMAN	EAW81275.1	    99.338	151	1	0	1	151	1	151	7.60e-109	308	    99.34
sp|Q9NPG2|NGB_HUMAN	1OJ6_A	        98.013	151	3	0	1	151	1	151	6.28e-106	301	    98.01
sp|Q9NPG2|NGB_HUMAN	1A9W_E	        27.344	128	88	3	22	148	22	145	3.08e-06	47.0	44.53
sp|Q9NPG2|NGB_HUMAN	NP_005321.1	    27.344	128	88	3	22	148	23	146	3.23e-06	47.0	44.53
sp|Q9NPG2|NGB_HUMAN	ADV36113.1	    26.531	98	70	1	48	145	48	143	3.95e-05	43.9	47.96
sp|Q9NPG2|NGB_HUMAN	1UT0_A	        23.490	149	104	4	5	148	23	166	1.55e-04	42.7	42.95
sp|Q9NPG2|NGB_HUMAN	P69891.2	    27.273	99	68	2	48	145	48	143	2.11e-04	42.0	47.47
sp|Q9NPG2|NGB_HUMAN	1I3D_A	        27.273	99	68	2	48	145	47	142	2.17e-04	42.0	47.47
sp|Q9NPG2|NGB_HUMAN	AAH29798.1	    24.161	149	103	4	5	148	23	166	2.32e-04	42.4	42.95
sp|Q9NPG2|NGB_HUMAN	XP_005257062.1	27.049	122	79	4	24	140	42	158	3.08e-04	42.0	43.44
sp|Q9NPG2|NGB_HUMAN	NP_599030.1	    25.385	130	87	4	24	148	42	166	3.21e-04	42.0	43.08
sp|Q9NPG2|NGB_HUMAN	1V5H_A	        25.385	130	87	4	24	148	45	169	3.72e-04	41.6	43.08
sp|Q9NPG2|NGB_HUMAN	3AG0_A	        25.385	130	87	4	24	148	44	168	3.74e-04	41.6	43.08
sp|Q9NPG2|NGB_HUMAN	AAD19655.1	    26.263	99	69	2	48	145	30	125	5.12e-04	40.4	46.46
sp|Q9NPG2|NGB_HUMAN	AAB50159.1	    26.263	99	69	2	48	145	53	148	5.36e-04	40.8	46.46
sp|Q9NPG2|NGB_HUMAN	NP_000550.2	    27.273	99	68	2	48	145	48	143	5.38e-04	40.8	46.46
sp|Q9NPG2|NGB_HUMAN	4MQJ_B	        26.263	99	69	2	48	145	47	142	5.99e-04	40.8	46.46
sp|Q9NPG2|NGB_HUMAN	NP_000175.1	    26.263	99	69	2	48	145	48	143	6.00e-04	40.8	46.46
sp|Q9NPG2|NGB_HUMAN	630483A	        26.263	99	69	2	48	145	47	142	6.24e-04	40.4	46.46
sp|Q9NPG2|NGB_HUMAN	1FDH_G	        26.263	99	69	2	48	145	48	143	6.31e-04	40.4	46.46
sp|Q9NPG2|NGB_HUMAN	EAW89405.1	    25.191	131	88	4	24	149	162	287	8.75e-04	41.2	42.75
sp|Q9NPG2|NGB_HUMAN	1SHR_B	        21.528	144	108	3	5	148	7	145	0.001	    39.7	43.06
sp|Q9NPG2|NGB_HUMAN	NP_000510.1	    21.528	144	108	3	5	148	8	146	0.001	    39.7	43.06
sp|Q9NPG2|NGB_HUMAN	AAL72117.1	    21.528	144	108	3	5	148	8	146	0.001	    39.7	43.06
sp|Q9NPG2|NGB_HUMAN	610523A	        23.529	102	74	2	48	148	47	145	0.001	    39.7	45.10
sp|Q9NPG2|NGB_HUMAN	4MQK_B	        25.253	99	70	2	48	145	47	142	0.002	    39.3	46.46
sp|Q9NPG2|NGB_HUMAN	4B3W_A	        24.113	141	97	4	5	140	23	158	0.002	    39.7	42.55
sp|Q9NPG2|NGB_HUMAN	ADB93136.1	    26.263	99	69	2	48	145	48	143	0.002	    38.9	46.46




